number_of_elements,average_sort_time 
3,0 
4,0 
5,0 
6,0 
7,0 
8,0.01 
9,0 
10,0 
11,0 
12,0 
13,0 
14,0.01 
15,0.01 
16,0 
17,0.01 
18,0.01 
19,0 
20,0.01 
21,0 
22,0 
23,0.02 
24,0 
25,0.01 
26,0.02 
27,0 
28,0.02 
29,0 
30,0.01 
31,0 
32,0.01 
33,0 
34,0.01 
35,0.01 
36,0.01 
37,0.01 
38,0.01 
39,0 
40,0.02 
41,0.02 
42,0.02 
43,0.03 
44,0.01 
45,0.01 
46,0 
47,0.02 
48,0.01 
49,0 
50,0.02 
51,0.01 
52,0.02 
53,0.02 
54,0.04 
55,0.02 
56,0.02 
57,0.03 
58,0.05 
59,0.04 
60,0.01 
61,0.01 
62,0.05 
63,0.06 
64,0.07 
65,0.04 
66,0.06 
67,0.05 
68,0.02 
69,0.02 
70,0.04 
71,0.01 
72,0.04 
73,0.03 
74,0.02 
75,0.04 
76,0.02 
77,0.02 
78,0.04 
79,0.01 
80,0.04 
81,0.05 
82,0.03 
83,0.02 
84,0.05 
85,0.03 
86,0.03 
87,0.04 
88,0.09 
89,0.09 
90,0.1 
91,0.11 
92,0.05 
93,0.04 
94,0.04 
95,0.03 
96,0.01 
97,0.02 
98,0.05 
99,0.07 
100,0.04 
101,0.07 
102,0.04 
103,0.06 
104,0.09 
105,0.05 
106,0.08 
107,0.17 
108,0.14 
109,0.08 
110,0.12 
111,0.11 
112,0.04 
113,0.05 
114,0.06 
115,0.08 
116,0.07 
117,0.08 
118,0.07 
119,0.05 
120,0.08 
121,0.12 
122,0.08 
123,0.06 
124,0.1 
125,0.14 
126,0.14 
127,0.11 
128,0.08 
129,0.12 
130,0.11 
131,0.06 
132,0.1 
133,0.01 
134,0.11 
135,0.06 
136,0.12 
137,0.13 
138,0.21 
139,0.26 
140,0.18 
141,0.13 
142,0.11 
143,0.08 
144,0.1 
145,0.11 
146,0.06 
147,0.09 
148,0.12 
149,0.09 
150,0.21 
151,0.21 
152,0.27 
153,0.2 
154,0.16 
155,0.14 
156,0.1 
157,0.1 
158,0.16 
159,0.09 
160,0.12 
161,0.19 
162,0.2 
163,0.35 
164,0.31 
165,0.12 
166,0.18 
167,0.08 
168,0.12 
169,0.16 
170,0.17 
171,0.13 
172,0.18 
173,0.27 
174,0.35 
175,0.21 
176,0.12 
177,0.43 
178,0.14 
179,0.17 
180,0.17 
181,0.14 
182,0.18 
183,0.26 
184,0.38 
185,0.35 
186,0.21 
187,0.15 
188,0.12 
189,0.21 
190,0.17 
191,0.14 
192,0.23 
193,0.35 
194,0.39 
195,0.21 
196,0.2 
197,0.53 
198,0.23 
199,0.17 
200,0.18 
201,0.19 
202,0.52 
203,0.49 
204,0.2 
205,0.26 
206,0.14 
207,0.23 
208,0.21 
209,0.2 
210,0.2 
211,0.45 
212,0.56 
213,0.1 
214,0.13 
215,0.23 
216,0.18 
217,0.27 
218,0.21 
219,0.3 
220,0.44 
221,0.33 
222,0.24 
223,0.27 
224,0.2 
225,0.2 
226,0.22 
227,0.36 
228,0.53 
229,0.58 
230,0.34 
231,0.22 
232,0.26 
233,0.21 
234,0.24 
235,0.27 
236,0.57 
237,0.55 
238,0.55 
239,0.28 
240,0.29 
241,0.3 
242,0.26 
243,0.3 
244,0.6 
245,0.64 
246,0.49 
247,0.27 
248,0.24 
249,0.27 
250,0.35 
251,0.22 
252,0.55 
253,0.44 
254,0.33 
255,0.25 
256,0.31 
257,0.38 
258,0.15 
259,0.7 
260,0.72 
261,0.45 
262,0.3 
263,0.24 
264,0.32 
265,0.76 
266,0.72 
267,0.46 
268,0.36 
269,0.3 
270,0.27 
271,0.31 
272,0.66 
273,0.65 
274,0.34 
275,0.36 
276,0.3 
277,0.34 
278,0.41 
279,0.82 
280,0.51 
281,0.32 
282,0.35 
283,0.38 
284,0.4 
285,0.75 
286,0.63 
287,0.42 
288,0.34 
289,0.44 
290,0.4 
291,0.7 
292,0.74 
293,0.44 
294,0.45 
295,0.61 
296,0.44 
297,0.63 
298,0.98 
299,0.6 
300,0.62 
301,0.38 
302,0.36 
303,0.41 
304,0.81 
305,0.87 
306,0.42 
307,0.46 
308,0.42 
309,0.41 
310,0.73 
311,0.95 
312,0.71 
313,0.47 
314,0.41 
315,0.44 
316,0.53 
317,1.04 
318,0.84 
319,0.53 
320,0.52 
321,0.42 
322,0.49 
323,1.05 
324,0.93 
325,0.4 
326,0.43 
327,0.51 
328,0.56 
329,1.09 
330,0.96 
331,0.52 
332,0.6 
333,0.54 
334,0.56 
335,1.06 
336,1.01 
337,0.35 
338,0.46 
339,0.48 
340,0.61 
341,1.21 
342,0.93 
343,0.43 
344,0.54 
345,0.47 
346,0.7 
347,1.18 
348,0.88 
349,0.48 
350,0.57 
351,1.22 
352,1.34 
353,0.53 
354,0.58 
355,0.61 
356,0.84 
357,0.95 
358,0.51 
359,0.64 
360,0.57 
361,0.97 
362,1.03 
363,0.73 
364,0.63 
365,0.57 
366,0.95 
367,1.49 
368,0.67 
369,0.49 
370,0.64 
371,0.79 
372,1.38 
373,0.83 
374,0.61 
375,0.64 
376,0.61 
377,1.43 
378,0.79 
379,0.6 
380,0.63 
381,1.4 
382,1.37 
383,0.74 
384,0.68 
385,1.32 
386,1.26 
387,0.62 
388,0.68 
389,0.69 
390,1.23 
391,1.35 
392,0.63 
393,0.66 
