number_of_elements,average_sort_time 
3,0.006 
4,0.002 
5,0.001 
6,0.002 
7,0.002 
8,0.0015 
9,0.0025 
10,0.002 
11,0.003 
12,0.0035 
13,0.0045 
14,0.004 
15,0.005 
16,0.006 
17,0.006 
18,0.0065 
19,0.0065 
20,0.0065 
21,0.0075 
22,0.0075 
23,0.008 
24,0.009 
25,0.009 
26,0.0085 
27,0.009 
28,0.0115 
29,0.014 
30,0.012 
31,0.0135 
32,0.011 
33,0.012 
34,0.0145 
35,0.0115 
36,0.0135 
37,0.0145 
38,0.0165 
39,0.0165 
40,0.016 
41,0.017 
42,0.0175 
43,0.017 
44,0.0175 
45,0.019 
46,0.0175 
47,0.0205 
48,0.022 
49,0.0205 
50,0.02 
51,0.0225 
52,0.022 
53,0.0245 
54,0.0225 
55,0.022 
56,0.025 
57,0.026 
58,0.0265 
59,0.0235 
60,0.0255 
61,0.0305 
62,0.026 
63,0.026 
64,0.0275 
65,0.027 
66,0.0295 
67,0.0285 
68,0.03 
69,0.032 
70,0.0305 
71,0.033 
72,0.031 
73,0.0335 
74,0.0345 
75,0.035 
76,0.0355 
77,0.033 
78,0.033 
79,0.0395 
80,0.041 
81,0.0485 
82,0.039 
83,0.0385 
84,0.036 
85,0.038 
86,0.037 
87,0.037 
88,0.0385 
89,0.0405 
90,0.039 
91,0.042 
92,0.0395 
93,0.039 
94,0.0415 
95,0.0405 
96,0.041 
97,0.0415 
98,0.041 
99,0.046 
100,0.043 
101,0.0465 
102,0.047 
103,0.0455 
104,0.046 
105,0.0465 
106,0.083 
107,0.0975 
108,0.102 
109,0.1015 
110,0.1075 
111,0.103 
112,0.1065 
113,0.1255 
114,0.111 
115,0.118 
116,0.082 
117,0.0555 
118,0.054 
119,0.0555 
120,0.0505 
121,0.055 
122,0.0535 
123,0.0555 
124,0.055 
125,0.057 
126,0.059 
127,0.058 
128,0.0575 
129,0.063 
130,0.0595 
131,0.062 
132,0.06 
133,0.0595 
134,0.063 
135,0.067 
136,0.0615 
137,0.0635 
138,0.07 
139,0.064 
140,0.07 
141,0.0635 
142,0.0665 
143,0.0855 
144,0.1505 
145,0.1405 
146,0.1405 
147,0.142 
148,0.176 
149,0.1535 
150,0.1815 
151,0.08 
152,0.072 
153,0.074 
154,0.075 
155,0.0755 
156,0.0775 
157,0.073 
158,0.0745 
159,0.077 
160,0.0785 
161,0.0765 
162,0.0795 
163,0.076 
164,0.0855 
165,0.082 
166,0.087 
167,0.0805 
168,0.0785 
169,0.08 
170,0.084 
171,0.083 
172,0.1755 
173,0.182 
174,0.2105 
175,0.227 
176,0.1955 
177,0.148 
178,0.091 
179,0.089 
180,0.09 
181,0.092 
182,0.0885 
183,0.091 
184,0.093 
185,0.089 
186,0.091 
187,0.0915 
188,0.0915 
189,0.0915 
190,0.09 
191,0.0925 
192,0.1065 
193,0.0985 
194,0.094 
195,0.1535 
196,0.2075 
197,0.235 
198,0.2235 
199,0.2265 
200,0.164 
201,0.1075 
202,0.1045 
203,0.1045 
204,0.113 
205,0.105 
206,0.1035 
207,0.104 
208,0.106 
209,0.1065 
210,0.107 
211,0.1065 
212,0.115 
213,0.1125 
214,0.1095 
215,0.136 
216,0.2435 
217,0.2705 
218,0.2425 
219,0.294 
220,0.125 
221,0.13 
222,0.1175 
223,0.12 
224,0.1175 
225,0.116 
226,0.1165 
227,0.118 
228,0.1205 
229,0.118 
230,0.124 
231,0.12 
232,0.123 
