number_of_elements,average_sort_time 
3,0 
4,0.01 
5,0 
6,0.01 
7,0 
8,0.01 
9,0.01 
10,0.02 
11,0.03 
12,0 
13,0.01 
14,0.01 
15,0.01 
16,0 
17,0.02 
18,0 
19,0 
20,0.01 
21,0.01 
22,0.01 
23,0.03 
24,0.03 
25,0.01 
26,0 
27,0.03 
28,0 
29,0.01 
30,0.04 
31,0 
32,0.01 
33,0.01 
34,0.02 
35,0.01 
36,0 
37,0.04 
38,0.01 
39,0 
40,0.03 
41,0.03 
42,0.03 
43,0.03 
44,0.06 
45,0.03 
46,0.04 
47,0.03 
48,0.03 
49,0.01 
50,0.01 
51,0.05 
52,0.05 
53,0.06 
54,0.05 
55,0.01 
56,0.02 
57,0.02 
58,0.05 
59,0.04 
60,0.02 
61,0.02 
62,0.04 
63,0.07 
64,0.04 
65,0.05 
66,0.07 
67,0.06 
68,0.03 
69,0.06 
70,0.06 
71,0.06 
72,0.05 
73,0.02 
74,0.02 
75,0.07 
76,0.04 
77,0.04 
78,0.03 
79,0.06 
80,0.05 
81,0.04 
82,0.04 
83,0.15 
84,0.05 
85,0.1 
86,0.07 
87,0.06 
88,0.15 
89,0.04 
90,0.07 
91,0.11 
92,0.07 
93,0.1 
94,0.07 
95,0.08 
96,0.06 
97,0.12 
98,0.08 
99,0.04 
100,0.05 
101,0.09 
102,0.04 
103,0.11 
104,0.07 
105,0.08 
106,0.07 
107,0.06 
108,0.09 
109,0.03 
110,0.03 
111,0.07 
112,0.09 
113,0.08 
114,0.08 
115,0.05 
116,0.09 
117,0.11 
118,0.05 
119,0.09 
120,0.11 
121,0.07 
122,0.06 
123,0.07 
124,0.08 
125,0.06 
126,0.19 
127,0.27 
128,0.22 
129,0.28 
130,0.07 
131,0.11 
132,0.12 
133,0.07 
134,0.11 
135,0.16 
136,0.07 
137,0.1 
138,0.11 
139,0.12 
140,0.33 
141,0.24 
142,0.28 
143,0.11 
144,0.11 
145,0.1 
146,0.12 
147,0.12 
148,0.09 
149,0.1 
150,0.15 
151,0.09 
152,0.16 
153,0.25 
154,0.24 
155,0.18 
156,0.12 
157,0.16 
158,0.11 
159,0.07 
160,0.14 
161,0.16 
162,0.17 
163,0.14 
164,0.28 
165,0.34 
166,0.23 
167,0.12 
168,0.16 
169,0.18 
170,0.17 
171,0.13 
172,0.12 
173,0.24 
174,0.17 
175,0.36 
176,0.29 
177,0.14 
178,0.16 
179,0.15 
180,0.11 
181,0.17 
182,0.15 
183,0.14 
184,0.22 
185,0.34 
186,0.34 
187,0.26 
188,0.18 
189,0.15 
190,0.14 
191,0.18 
192,0.16 
193,0.22 
194,0.29 
195,0.42 
196,0.54 
197,0.19 
198,0.14 
199,0.14 
200,0.15 
201,0.16 
202,0.17 
203,0.33 
204,0.41 
205,0.29 
206,0.19 
207,0.18 
208,0.21 
209,0.12 
210,0.21 
211,0.23 
212,0.39 
213,0.43 
214,0.1 
215,0.12 
216,0.17 
217,0.13 
218,0.23 
219,0.22 
220,0.24 
221,0.42 
222,0.19 
223,0.25 
224,0.21 
225,0.2 
226,0.21 
227,0.21 
228,0.43 
229,0.5 
230,0.17 
231,0.19 
232,0.18 
233,0.23 
234,0.23 
235,0.25 
236,0.48 
237,0.34 
238,0.31 
239,0.21 
240,0.22 
241,0.14 
242,0.16 
243,0.36 
244,0.45 
245,0.3 
246,0.24 
247,0.26 
248,0.17 
249,0.43 
250,0.27 
251,0.52 
252,0.55 
253,0.24 
254,0.22 
255,0.24 
256,0.25 
257,0.28 
258,0.61 
259,0.5 
260,0.46 
261,0.21 
262,0.14 
263,0.13 
264,0.35 
265,0.29 
266,0.48 
267,0.48 
268,0.43 
269,0.2 
270,0.26 
271,0.26 
272,0.26 
273,0.38 
274,0.63 
275,0.45 
276,0.28 
277,0.23 
278,0.28 
279,0.2 
280,0.34 
281,0.54 
282,0.5 
283,0.25 
284,0.29 
285,0.21 
286,0.3 
287,0.34 
288,0.53 
289,0.52 
290,0.22 
291,0.21 
292,0.3 
293,0.34 
294,0.34 
295,0.64 
296,0.54 
297,0.19 
298,0.25 
299,0.34 
300,0.22 
301,0.45 
302,0.57 
303,0.47 
304,0.29 
305,0.22 
306,0.25 
307,0.35 
308,0.63 
309,0.54 
310,0.29 
311,0.41 
312,0.28 
313,0.29 
314,0.58 
315,0.53 
316,0.29 
317,0.31 
318,0.35 
319,0.37 
320,0.46 
321,0.67 
322,0.28 
323,0.33 
324,0.72 
325,0.56 
326,0.42 
327,0.25 
328,0.28 
329,0.27 
330,0.44 
331,0.68 
332,0.52 
333,0.28 
334,0.36 
335,0.58 
336,0.71 
337,0.35 
338,0.27 
339,0.35 
340,0.32 
341,0.67 
342,0.59 
343,0.27 
344,0.42 
345,0.39 
346,0.3 
347,0.68 
348,0.56 
349,0.25 
350,0.3 
351,0.28 
352,0.57 
353,0.63 
354,0.49 
355,0.33 
356,0.37 
357,0.41 
358,0.59 
359,0.5 
360,0.37 
361,0.37 
362,0.72 
363,0.61 
364,0.39 
365,0.37 
366,0.53 
367,0.54 
368,0.34 
369,0.34 
370,0.73 
371,0.65 
372,0.37 
373,0.4 
374,0.4 
375,0.57 
376,0.74 
377,0.31 
378,0.32 
379,0.35 
380,0.53 
381,0.75 
382,0.44 
383,0.44 
384,0.58 
385,0.82 
386,0.46 
387,0.39 
388,0.56 
389,1.12 
390,0.54 
391,0.39 
392,0.43 
393,0.45 
394,0.79 
395,0.57 
396,0.44 
397,0.56 
398,0.8 
399,0.37 
400,0.39 
401,0.68 
402,0.82 
403,0.44 
404,0.41 
405,0.73 
406,0.66 
407,0.41 
408,0.37 
409,1.02 
410,0.62 
411,0.39 
412,0.4 
413,0.39 
414,0.84 
415,0.54 
416,0.38 
417,0.4 
418,0.53 
419,0.92 
420,0.49 
421,0.38 
422,0.48 
423,0.56 
424,0.86 
425,0.48 
426,0.35 
427,0.95 
428,0.73 
429,0.48 
430,0.43 
431,0.59 
432,0.97 
433,0.6 
434,0.35 
435,0.49 
436,0.68 
437,0.86 
438,0.33 
439,0.49 
440,0.97 
441,0.66 
442,0.41 
443,0.41 
444,0.69 
445,0.91 
446,0.41 
447,0.38 
448,0.4 
449,0.89 
450,0.46 
451,0.45 
452,0.5 
453,0.78 
454,0.74 
455,0.38 
456,0.46 
457,0.65 
458,0.96 
459,0.44 
460,0.44 
461,0.48 
462,1.12 
463,0.55 
464,0.58 
465,0.5 
466,0.78 
467,0.79 
468,0.47 
469,0.47 
470,0.68 
471,0.95 
472,0.43 
473,0.49 
474,0.39 
475,1.02 
476,0.63 
477,0.51 
478,0.43 
479,0.81 
480,0.85 
481,0.5 
482,0.78 
483,0.91 
484,0.43 
485,0.74 
486,0.99 
487,0.46 
488,0.48 
489,0.59 
490,0.97 
491,0.76 
492,0.46 
493,0.45 
494,0.88 
495,0.52 
496,0.72 
497,1.06 
498,0.45 
499,0.49 
500,0.6 
